BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,TX_SUCCEEDED,TX_CALLER_ADDRESS,ACTION,DELEGATOR_ADDRESS,VALIDATOR_ADDRESS,AMOUNT,CURRENCY,REDELEGATE_SOURCE_VALIDATOR_ADDRESS,COMPLETION_TIME,_MSG_GROUP
425409,1/18/2022,2289961DFA194A7CAC277AED5C7CEAC35D8CDC3F335156777FDCB4D056A60E31,TRUE,axelar1rqp7vvl9cjmdan44dny56qadwg590uxv8kt7wf,delegate,axelar1rqp7vvl9cjmdan44dny56qadwg590uxv8kt7wf,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,8000000,uaxl,null,null,0
452215,1/20/2022,3EF16B118ACF5F78B913CE7E89D1C8926F8736A7CD9812E2973060F542BB8C86,TRUE,axelar1ph0qnh7u2fhuqrx0w27mpg338np6uhqhrqh7qs,delegate,axelar1ph0qnh7u2fhuqrx0w27mpg338np6uhqhrqh7qs,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,7E+11,uaxl,null,null,0
2599737,6/17/2022,33770C190C4E08684271201D9C460357673772B89EEECF0E8FC88F6501BEA3A7,TRUE,axelar14z0yw4nystazxvljpwpe2xlqd29pddd7ems3uf,redelegate,axelar14z0yw4nystazxvljpwpe2xlqd29pddd7ems3uf,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000,uaxl,axelarvaloper1uf7s2v44qqpe9lpnsjy6cfjueqytakuzayfg0h,10:36.0,0
2760385,6/28/2022,E7D74985E820603C87DCB632B7911D74F8FADF77122558F54AAA5D31D9A457E5,TRUE,axelar14z0yw4nystazxvljpwpe2xlqd29pddd7ems3uf,redelegate,axelar14z0yw4nystazxvljpwpe2xlqd29pddd7ems3uf,axelarvaloper148skr4d5vy6c9728zkf7cff9e5eykgwka3rvm7,1000000,uaxl,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,22:33.0,0
3876001,9/14/2022,F00908277A865F65C30E9F520D5B61C58092DB54E2D2A2ACB9BFABF497CB58F4,TRUE,axelar1ph0qnh7u2fhuqrx0w27mpg338np6uhqhrqh7qs,delegate,axelar1ph0qnh7u2fhuqrx0w27mpg338np6uhqhrqh7qs,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,3E+11,uaxl,null,null,0
4040587,9/25/2022,3FB10601F0A47D3481A8251BC0117BCA6E558305816E33C3E0A21325905D288C,TRUE,axelar1547g0t4c73mtz0xwdlx3hn52v2nzqeqvd4llwr,delegate,axelar1547g0t4c73mtz0xwdlx3hn52v2nzqeqvd4llwr,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,100000000,uaxl,null,null,0
4046607,9/26/2022,46D061E6E71115A5FDC555BA06D2A47636473275F42B842568CB5BA428CE2839,TRUE,axelar1f5ns5w3y9gd2ztrklgat3q8kv3grg2sl7hd9yr,delegate,axelar1f5ns5w3y9gd2ztrklgat3q8kv3grg2sl7hd9yr,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,199986828,uaxl,null,null,0
4056798,9/26/2022,844A743C12802ED25EA64B6D335414F8E2A0E4608CFCCCB7644EAD94339170C4,TRUE,axelar15366t0hk23wz8rrz92yw8trvperwr3nehc52m0,delegate,axelar15366t0hk23wz8rrz92yw8trvperwr3nehc52m0,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,3.5E+12,uaxl,null,null,0
4067753,9/27/2022,9B9E3212266FF88198273F3F20213A2B757D9B9839A6F61542354D1381B576D3,TRUE,axelar1yderr3j58nytx56g0vhupacsada4p8n88dfpe6,delegate,axelar1yderr3j58nytx56g0vhupacsada4p8n88dfpe6,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,4736841,uaxl,null,null,0
4068049,9/27/2022,FCDE8E965F81490D129C2261F701887C3F57E65A3B1A228372CF267A4A819AA8,TRUE,axelar1yderr3j58nytx56g0vhupacsada4p8n88dfpe6,delegate,axelar1yderr3j58nytx56g0vhupacsada4p8n88dfpe6,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,548040145,uaxl,null,null,0
